CITY,SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,VENDOR,LONGITUDE,LATITUDE,STYLE,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
sanxia,259806-0,E宝涣池-HLHF-1,259806,E宝涣池-HLHF,38400,415,1,138,18835,华为,111.58001,33.48671,宏站,0,33,6,3,9
sanxia,259806-1,E宝涣池-HLHF-2,259806,E宝涣池-HLHF,38400,416,2,138,18835,华为,111.58001,33.48671,宏站,120,33,6,3,9
sanxia,259806-2,E宝涣池-HLHF-3,259806,E宝涣池-HLHF,38400,414,0,138,18835,华为,111.58001,33.48671,宏站,240,33,6,3,9
sanxia,259807-0,E宝看守所-HLHF-1,259807,E宝看守所-HLHF,38400,241,1,80,14499,华为,111.90565,33.54978,宏站,0,43,6,3,9
sanxia,259807-1,E宝看守所-HLHF-2,259807,E宝看守所-HLHF,38400,242,2,80,14499,华为,111.90565,33.54978,宏站,120,43,6,3,9
sanxia,259807-2,E宝看守所-HLHF-3,259807,E宝看守所-HLHF,38400,240,0,80,14499,华为,111.90565,33.54978,宏站,240,43,6,3,9
sanxia,259808-0,E宝老城-HLHF-1,259808,E宝老城-HLHF,38400,176,2,58,14499,华为,111.941503,33.675286,宏站,0,43,6,3,9
sanxia,259808-1,E宝老城-HLHF-2,259808,E宝老城-HLHF,38400,174,0,58,14499,华为,111.941503,33.675286,宏站,120,43,6,3,9
sanxia,259808-2,E宝老城-HLHF-3,259808,E宝老城-HLHF,38400,175,1,58,14499,华为,111.941503,33.675286,宏站,240,43,6,3,9
sanxia,259809-0,E宝老虎沟-HLHF-1,259809,E宝老虎沟-HLHF,38400,361,1,120,18832,华为,111.492607,33.369097,宏站,0,43,6,3,9
sanxia,259809-1,E宝老虎沟-HLHF-2,259809,E宝老虎沟-HLHF,38400,362,2,120,18832,华为,111.492607,33.369097,宏站,120,43,6,3,9
sanxia,259809-2,E宝老虎沟-HLHF-3,259809,E宝老虎沟-HLHF,38400,360,0,120,18832,华为,111.492607,33.369097,宏站,240,43,6,3,9
sanxia,259810-0,E宝雷家营-HLHF-1,259810,E宝雷家营-HLHF,38400,75,0,25,14355,华为,111.69601,33.57341,宏站,0,43,6,3,9
sanxia,259810-1,E宝雷家营-HLHF-2,259810,E宝雷家营-HLHF,38400,76,1,25,14355,华为,111.69601,33.57341,宏站,120,43,6,3,9
sanxia,259810-2,E宝雷家营-HLHF-3,259810,E宝雷家营-HLHF,38400,77,2,25,14355,华为,111.69601,33.57341,宏站,240,43,6,3,9
sanxia,259811-0,E宝硫铁矿-HLHF-1,259811,E宝硫铁矿-HLHF,38400,82,1,27,18832,华为,111.805431,33.205282,宏站,0,9,6,3,9
sanxia,259811-1,E宝硫铁矿-HLHF-2,259811,E宝硫铁矿-HLHF,38400,83,2,27,18832,华为,111.805431,33.205282,宏站,120,9,6,3,9
sanxia,259811-2,E宝硫铁矿-HLHF-3,259811,E宝硫铁矿-HLHF,38400,81,0,27,18832,华为,111.805431,33.205282,宏站,240,9,6,3,9
sanxia,259812-0,E宝梅山-HLHF-1,259812,E宝梅山-HLHF,38400,2,2,0,18832,华为,111.74901,33.26891,宏站,0,19,6,3,9
sanxia,259812-1,E宝梅山-HLHF-2,259812,E宝梅山-HLHF,38400,0,0,0,18832,华为,111.74901,33.26891,宏站,120,19,6,3,9
sanxia,259812-2,E宝梅山-HLHF-3,259812,E宝梅山-HLHF,38400,1,1,0,18832,华为,111.74901,33.26891,宏站,240,19,6,3,9
sanxia,259813-0,E宝孟村-HLHF-1,259813,E宝孟村-HLHF,38400,275,2,91,14499,华为,111.91901,33.65491,宏站,90,43,6,8,14
sanxia,259813-1,E宝孟村-HLHF-2,259813,E宝孟村-HLHF,38400,273,0,91,14499,华为,111.91901,33.65491,宏站,180,43,6,3,9
sanxia,259813-2,E宝孟村-HLHF-3,259813,E宝孟村-HLHF,38400,274,1,91,14499,华为,111.91901,33.65491,宏站,270,43,6,3,9
sanxia,259814-0,E宝南朝-HLHF-1,259814,E宝南朝-HLHF,38400,417,0,139,18836,华为,111.998406,33.475446,宏站,0,33,6,3,9
sanxia,259814-1,E宝南朝-HLHF-2,259814,E宝南朝-HLHF,38400,419,2,139,18836,华为,111.998406,33.475446,宏站,120,33,6,3,9
sanxia,259814-2,E宝南朝-HLHF-3,259814,E宝南朝-HLHF,38400,418,1,139,18836,华为,111.998406,33.475446,宏站,240,33,6,3,9
sanxia,259815-0,E宝农业科技示范园-HLHF-1,259815,E宝农业科技示范园-HLHF,38400,338,2,112,18836,华为,111.908028,33.521219,宏站,60,43,6,3,9
sanxia,259815-1,E宝农业科技示范园-HLHF-2,259815,E宝农业科技示范园-HLHF,38400,337,1,112,18836,华为,111.908028,33.521219,宏站,170,43,6,3,9
sanxia,259815-2,E宝农业科技示范园-HLHF-3,259815,E宝农业科技示范园-HLHF,38400,336,0,112,18836,华为,111.908028,33.521219,宏站,320,43,6,3,9
sanxia,259816-0,E宝盘东-HLHF-1,259816,E宝盘东-HLHF,38400,502,1,167,14435,华为,111.55173,33.57576,宏站,0,43,6,3,9
sanxia,259816-1,E宝盘东-HLHF-2,259816,E宝盘东-HLHF,38400,501,0,167,14435,华为,111.55173,33.57576,宏站,120,43,6,3,9
sanxia,259816-2,E宝盘东-HLHF-3,259816,E宝盘东-HLHF,38400,503,2,167,14435,华为,111.55173,33.57576,宏站,240,43,6,3,9
sanxia,259817-0,E宝枪马金矿-HLHF-1,259817,E宝枪马金矿-HLHF,38400,86,2,28,18832,华为,111.52072,33.37535,宏站,0,14,6,3,9
sanxia,259817-1,E宝枪马金矿-HLHF-2,259817,E宝枪马金矿-HLHF,38400,85,1,28,18832,华为,111.52072,33.37535,宏站,120,14,6,3,9
sanxia,259817-2,E宝枪马金矿-HLHF-3,259817,E宝枪马金矿-HLHF,38400,84,0,28,18832,华为,111.52072,33.37535,宏站,240,14,6,3,9
sanxia,259818-0,E宝强家-HLHF-1,259818,E宝强家-HLHF,38400,107,2,35,14355,华为,111.70601,33.52281,宏站,0,33,6,3,9
sanxia,259818-1,E宝强家-HLHF-2,259818,E宝强家-HLHF,38400,105,0,35,14355,华为,111.70601,33.52281,宏站,120,33,6,3,9
sanxia,259818-2,E宝强家-HLHF-3,259818,E宝强家-HLHF,38400,106,1,35,14355,华为,111.70601,33.52281,宏站,240,33,6,3,9
sanxia,259819-0,E宝乔营-HLHF-1,259819,E宝乔营-HLHF,38400,385,1,128,14355,华为,111.64496,33.50309,宏站,0,43,6,3,9
sanxia,259819-1,E宝乔营-HLHF-2,259819,E宝乔营-HLHF,38400,386,2,128,14355,华为,111.64496,33.50309,宏站,120,43,6,3,9
sanxia,259819-2,E宝乔营-HLHF-3,259819,E宝乔营-HLHF,38400,384,0,128,14355,华为,111.64496,33.50309,宏站,240,43,6,3,9
sanxia,273920-128,D县原村-HLHF-1,273920,D县原村-HLHF,38400,147,0,49,14547,华为,112.69905,33.65206,宏站,10,43,3,3,6
